书名,推荐,类别,收录原因,页数,链接,状态,入库,评价,读后感,创建时间,笔记,副标题
英语语法看这本就够了大全集,,语言学习,基础框架，很基础,336,https://book.douban.com/subject/24700164/,未读,,一般7-,,2024年8月13日 22:57,,
英语语法新思维——句子成分超精解,,语言学习,,264,https://book.douban.com/subject/26617512/,未读,,推荐7-8,,2024年8月13日 22:55,,
新东方 英语语法新思维中级教程：通悟语法,,语言学习,,344,https://book.douban.com/subject/30571037/,未读,,好评8.5+,,2024年8月13日 22:55,,
新东方 英语语法新思维初级教程：走近语法,,语言学习,,308,https://book.douban.com/subject/30701505/,未读,,好评8.5+,,2024年8月13日 22:54,,
1984,,文学小说和传记,,333,https://book.douban.com/subject/25798623/,读完,已下载,好评8.5+,,2024年8月13日 22:33,,
配色大原则,,艺术设计与理论基础,,224,https://book.douban.com/subject/27174408/,未读,已下载,推荐7-8,,2024年8月13日 22:30,,
概念设计的秘密 游戏美术基础与设计方法,,艺术设计与理论基础,,304,https://book.douban.com/subject/36195789/,未读,,推荐7-8,,2024年8月13日 22:26,,
视觉艺术用光,,艺术设计与理论基础,,168,https://book.douban.com/subject/19950884/,未读,已下载,好评8.5+,,2024年8月13日 22:23,,
构图的艺术,,艺术设计与理论基础,,142,https://book.douban.com/subject/6982049/,未读,已下载,推荐7-8,,2024年8月13日 22:22,,
电影摄影照明技巧教程,,艺术设计与理论基础,,388,https://book.douban.com/subject/20423230/,未读,已下载,推荐7-8,,2024年8月13日 22:21,,
色彩与光线,,艺术设计与理论基础,,224,https://book.douban.com/subject/27092980/,未读,,好评8.5+,,2024年8月13日 22:17,,
数字绘图的光照与渲染技术,,艺术设计与理论基础,猫叔分享的书，一直没看,324,https://book.douban.com/subject/3225198/,未读,已下载,好评8.5+,,2024年8月13日 22:16,,
让画面有故事感的色彩与构图,,艺术设计与理论基础,,240,https://book.douban.com/subject/36462982/,在读,,推荐7-8,,2024年8月13日 22:15,"让画面更有故事感的色彩与构图 (https://app.notion.com/p/1b41a26a3cb181b7877aedbd133dc304?pvs=21) ",
" CG造型基础与创作",,艺术设计与理论基础,,,https://book.douban.com/subject/35052844/,未读,,好评8.5+,,2024年8月13日 22:14,,
配色基础原理,,艺术设计与理论基础,,141,https://book.douban.com/subject/2230545/,未读,,推荐7-8,,2024年8月13日 22:09,,
小说写作：叙事技巧指南,,视野与能力拓展,,254,https://book.douban.com/subject/35434468/,未读,已下载,推荐7-8,,2024年8月13日 21:53,,
摄影构图与用光十讲,,艺术设计与理论基础,,,https://book.douban.com/subject/27178239/,未读,已下载,,,2024年8月13日 21:46,,
光影创作课：21位电影摄影大师的现场教学,,艺术设计与理论基础,,360,https://book.douban.com/subject/30155073/,未读,已下载,推荐7-8,,2024年8月13日 21:42,,
美国纽约摄影学院摄影教材上下册,,艺术设计与理论基础,,,https://book.douban.com/series/14149,未读,已下载,好评8.5+,,2024年8月13日 21:41,,
艺术与视知觉-2019,,艺术设计与理论基础,,507,https://book.douban.com/subject/30484307/,未读,,推荐7-8,,2024年8月13日 21:40,,
照片的本质,,艺术设计与理论基础,,131,https://book.douban.com/subject/10567183/,未读,已下载,推荐7-8,,2024年8月13日 21:39,,
关于构图问题,,艺术设计与理论基础,微信读书推荐的，评分较高,74,https://book.douban.com/subject/26647513/,未读,已下载,好评8.5+,,2024年8月13日 21:37,,
短篇小说写作指南,,视野与能力拓展,,360,https://book.douban.com/subject/30358497/,未读,已下载,推荐7-8,,2024年8月13日 21:09,,
毛泽东选集,,管理理论与方法论,https://zh.z-lib.gd/book/5988142/b08131/%E6%AF%9B%E6%B3%BD%E4%B8%9C%E9%80%89%E9%9B%8617.html,,https://book.douban.com/series/7496,未读,已下载,好评8.5+,,2024年8月13日 20:35,,
潜规则,,政治与社会科学,,272,https://book.douban.com/subject/3580750/,未读,已下载,推荐7-8,,2024年8月13日 20:34,,
世界摄影史,,艺术设计与理论基础,顾铮-浙江人民美术,175,https://book.douban.com/subject/1923669/,未读,已下载,推荐7-8,,2024年8月13日 17:24,,
